Sig	Thresh_Q25ZeroHit	Thresh_Q95ofZeroQ75	Thresh_ZeroGMM_0.05	Thresh_ZeroGMM_0.01
1	CX1	0.01053	0.01222	0.01224	0.01649
3	CX2	0.006048	0.001821	0.002252	0.003091
2	CX3	0.0307	0.01651	0.01725	0.02346
5	CX4	0.01337	0.003078	0.002931	0.004015
4	CX5	0.01239	0.002141	0.00306	0.004193
14	CX6	0.007923	0.0002137	0.001125	0.001557
10	CX7	0.00627	0.002082	0.001768	0.002416
13	CX8	0.005584	0.0009393	0.001229	0.001691
9	CX9	0.01626	0.002824	0.004128	0.005657
7	CX10	0.02242	0.003252	0.004706	0.00648
12	CX11	0.02202	0.001788	0.0034	0.004689
17	CX12	0.007946	0.0007824	0.001029	0.001415
16	CX13	0.00166	2.139e-05	0.0002749	0.0003815
11	CX14	0.01152	0	0.001669	0.002311
6	CX15	0.04782	0.01388	0.01451	0.01981
15	CX16	0.01049	0.001125	0.002495	0.003439
8	CX17	0.05413	0.009716	0.0131	0.01795
