"signature"	"target"	"drug"	"tau"	"p.value"	"q.value"
"10"	"FYN"	"dasatinib"	"-0.11487403700593"	"0.00803483839898601"	"0.00948706881533887"
"14"	"HTR2A"	"sertindole"	"-0.105532212378953"	"0.00556655193173723"	"0.00777550111099804"
"14"	"BRAF"	"AZ-628"	"-0.104823079459709"	"0.00628187966556432"	"0.00812949133190677"
"14"	"RAF1"	"AZ-628"	"-0.104823079459709"	"0.00628187966556432"	"0.00812949133190677"
"3"	"TUBB"	"ixabepilone"	"-0.133560915529661"	"0.000349303936383242"	"0.00236451895397887"
"3"	"GABRB2"	"thiocolchicoside"	"-0.119393881125889"	"0.00176581204371173"	"0.0048883862721529"
"3"	"TUBB"	"paclitaxel"	"-0.10874070864666"	"0.00280709663398444"	"0.00547996766907055"
"3"	"TUBB"	"cabazitaxel"	"-0.106385994297446"	"0.00336892216480486"	"0.00617635730214224"
"3"	"PRKCG"	"ingenol-mebutate"	"-0.107845376389471"	"0.0034814973731841"	"0.00624624150987915"
"4"	"ESR1"	"gestrinone"	"-0.130162690200556"	"0.0013223092688557"	"0.00484846731913757"
"4"	"CCND1"	"arcyriaflavin-a"	"-0.115871885837918"	"0.00261123200846799"	"0.00547996766907055"
"4"	"GRIN2B"	"kynurenic-acid"	"-0.10987633811418"	"0.00554719325384233"	"0.00777550111099804"
"4"	"GUCY1A3"	"riociguat"	"-0.109488155826078"	"0.00615892458516096"	"0.00812949133190677"
"5"	"HIF1A"	"2-methoxyestradiol"	"-0.154289537486634"	"6.22200890849355e-05"	"0.00136884195986858"
"5"	"PDGFRA"	"imatinib"	"-0.137767392871429"	"0.000321731283958446"	"0.0023593627490286"
"5"	"TUBB8"	"vinorelbine"	"-0.130175250252779"	"0.000491525072643096"	"0.00308958617089946"
"5"	"ADRA2B"	"epinephrine"	"-0.137808512467753"	"0.000631558487284208"	"0.00370514312540069"
"5"	"PDGFRA"	"crenolanib"	"-0.125936063014655"	"0.000728382702223105"	"0.00400610486222708"
"5"	"PARP1"	"olaparib"	"-0.123774336007944"	"0.00108103998452849"	"0.00466992165651381"
"5"	"HDAC6"	"romidepsin"	"-0.120407501413177"	"0.00121515240770147"	"0.00470978030300693"
"5"	"JAK1"	"ruxolitinib"	"-0.127192295664717"	"0.00157879038036884"	"0.0048883862721529"
"5"	"ADRA2B"	"maprotiline"	"-0.123511393841225"	"0.00187066398474427"	"0.00498173109242797"
