"signature"	"target"	"drug"	"tau"	"p.value"	"q.value"
"15"	"BRAF"	"RAF265"	"-0.146100872516938"	"0.000794730712261185"	"0.00515003203506235"
"15"	"BRAF"	"regorafenib"	"-0.129053701891909"	"0.00264049266729663"	"0.00620559240925957"
"15"	"BRAF"	"TAK-632"	"-0.136324604080576"	"0.00186526956466283"	"0.00620559240925957"
"15"	"EPHA2"	"regorafenib"	"-0.129053701891909"	"0.00264049266729663"	"0.00620559240925957"
"15"	"DDR2"	"regorafenib"	"-0.129053701891909"	"0.00264049266729663"	"0.00620559240925957"
"15"	"TEK"	"regorafenib"	"-0.129053701891909"	"0.00264049266729663"	"0.00620559240925957"
"15"	"TEK"	"ponatinib"	"-0.122202839112418"	"0.00373266803440507"	"0.00718678820648098"
"15"	"BRAF"	"AZ-628"	"-0.118931527459773"	"0.00567827642715456"	"0.00920801582781821"
"15"	"MAPK1"	"bisindolylmaleimide-ix"	"-0.114568700364474"	"0.0059057193103215"	"0.00932481996366553"
"17"	"HDAC2"	"JNJ-26481585"	"-0.137066263270137"	"0.00325384117053444"	"0.00673208518041608"
"17"	"HDAC4"	"JNJ-26481585"	"-0.137066263270137"	"0.00325384117053444"	"0.00673208518041608"
"3"	"TUBA3C"	"ixabepilone"	"-0.133560915529661"	"0.000349303936383242"	"0.00491525072643096"
"3"	"MAPT"	"paclitaxel"	"-0.10874070864666"	"0.00280709663398444"	"0.00623799251996542"
"4"	"ADORA2A"	"SCH-58261"	"-0.12994173855867"	"0.00134405174042068"	"0.0061529128298958"
"4"	"CCND1"	"arcyriaflavin-a"	"-0.115871885837918"	"0.00261123200846799"	"0.00620559240925957"
"4"	"ADORA2A"	"CGS-15943"	"-0.109033562667626"	"0.00493743787595127"	"0.00871312566344342"
"5"	"RPL10L"	"puromycin"	"-0.150352957874672"	"8.08459595704876e-05"	"0.00235516706724152"
"5"	"TUBA1A"	"vinorelbine"	"-0.130175250252779"	"0.000491525072643096"	"0.00491525072643096"
"5"	"ADRB3"	"epinephrine"	"-0.137808512467753"	"0.000631558487284208"	"0.00515003203506235"
"5"	"TYK2"	"ruxolitinib"	"-0.127192295664717"	"0.00157879038036884"	"0.0061529128298958"
"5"	"MAPT"	"paclitaxel"	"-0.109568920297823"	"0.00268909004401248"	"0.00620559240925957"
"5"	"TUBA1A"	"colchicine"	"-0.120204355901647"	"0.00192475974025626"	"0.00620559240925957"
"5"	"TUBA1A"	"mebendazole"	"-0.120336731295461"	"0.00416393841794267"	"0.00757079712353213"
"7"	"HTR1B"	"SB-216641"	"-0.148179756728158"	"0.000117758353362076"	"0.00235516706724152"
"7"	"TUBA3C"	"ixabepilone"	"-0.154529951878581"	"4.56150326329901e-05"	"0.00235516706724152"
"7"	"TUBA3C"	"colchicine"	"-0.138399351179728"	"0.000437793436538322"	"0.00491525072643096"
"7"	"RPL10L"	"puromycin"	"-0.123812375107533"	"0.000944172539761431"	"0.00515003203506235"
"7"	"RPL10L"	"anisomycin"	"-0.125705888858291"	"0.000745132191789591"	"0.00515003203506235"
"7"	"MAPT"	"paclitaxel"	"-0.123349503631322"	"0.000861356855648634"	"0.00515003203506235"
"7"	"TUBA3C"	"vinorelbine"	"-0.116106163797751"	"0.00163804644593844"	"0.0061529128298958"
"7"	"TUBA3C"	"epothilone-b"	"-0.116731790142771"	"0.00164077675463888"	"0.0061529128298958"
"7"	"REN"	"pepstatin"	"-0.117859346809098"	"0.00264913162393795"	"0.00620559240925957"
"7"	"CSF1"	"linifanib"	"-0.113798321144882"	"0.00214550853406318"	"0.00620559240925957"
"7"	"EPHA3"	"vandetanib"	"-0.111273714230332"	"0.00383295371012319"	"0.00718678820648098"
"7"	"MAPT"	"docetaxel"	"-0.100827890910886"	"0.00520328970188883"	"0.00891992520323799"
"9"	"EGFR"	"icotinib"	"-0.126346603212052"	"0.00111441312257716"	"0.0055720656128858"
"9"	"JAK1"	"filgotinib"	"-0.11957465375008"	"0.00340111924465467"	"0.00680223848930934"
"9"	"EGFR"	"CGP-52411"	"-0.104102044408321"	"0.005520881679716"	"0.00920146946619333"
