cellid	snp.file	Gender	fileid	logr	baf	study	penalty
22RV1	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674_tumour_BAF.txt	CCLE	70
23132-87	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336.CEL	M	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336_tumour_BAF.txt	CCLE	70
5637	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366.CEL	M	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366_tumour_BAF.txt	CCLE	70
639-V	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718.CEL	M	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718_tumour_LogR.txt	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718_tumour_BAF.txt	CCLE	70
647-V	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896.CEL	M	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896_tumour_LogR.txt	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896_tumour_BAF.txt	CCLE	70
697	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410.CEL	M	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410_tumour_BAF.txt	CCLE	70
769-P	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342.CEL	F	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342_tumour_BAF.txt	CCLE	70
786-0	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120_tumour_BAF.txt	CCLE	70
8305C	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562.CEL	F	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562_tumour_LogR.txt	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562_tumour_BAF.txt	CCLE	70
8505C	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702.CEL	F	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702_tumour_BAF.txt	CCLE	70
