"signature"	"target"	"drug"	"tau"	"p.value"	"q.value"
"1"	"BRAF"	"AZ-628"	"-0.0985881601118468"	"0.00750466577032389"	"0.0318948295238765"
"11"	"PDGFRA"	"masitinib"	"-0.0726642808887042"	"0.0432528105150099"	"0.0490198519170112"
"11"	"PDGFRA"	"crenolanib"	"-0.073587963876025"	"0.0332264683046046"	"0.0490198519170112"
"13"	"CDK4"	"arcyriaflavin-a"	"-0.0754577935744855"	"0.0506912767174361"	"0.0506912767174361"
"2"	"JAK1"	"AZD1480"	"-0.0956936634214066"	"0.0145102944500872"	"0.0490198519170112"
"4"	"CCND1"	"arcyriaflavin-a"	"-0.115871885837918"	"0.00261123200846799"	"0.0221954720719779"
"4"	"JAK1"	"AZD1480"	"-0.0790977131536186"	"0.0373471585137844"	"0.0490198519170112"
"4"	"JAK1"	"filgotinib"	"-0.0785826206622438"	"0.0399205154769829"	"0.0490198519170112"
"9"	"EGFR"	"icotinib"	"-0.126346603212052"	"0.00111441312257716"	"0.0189450230838117"
"9"	"EGFR"	"CGP-52411"	"-0.104102044408321"	"0.005520881679716"	"0.0312849961850573"
"9"	"PIK3CA"	"taselisib"	"-0.0742402406580579"	"0.0329355332034487"	"0.0490198519170112"
"9"	"EGFR"	"afatinib"	"-0.0753604512763932"	"0.0416048062873901"	"0.0490198519170112"
"9"	"EGFR"	"AP26113"	"-0.0710098382784914"	"0.0404428164243557"	"0.0490198519170112"
"9"	"EGFR"	"vandetanib"	"-0.089725612958503"	"0.0174787740951094"	"0.0490198519170112"
"9"	"EGFR"	"dacomitinib"	"-0.0786967048603281"	"0.0244722238728527"	"0.0490198519170112"
"9"	"EGFR"	"neratinib"	"-0.0706423041439115"	"0.0391189580502367"	"0.0490198519170112"
"9"	"TUBB4B"	"epothilone-d"	"-0.0759736033974391"	"0.0470010704751911"	"0.0499386373798905"
