signature	moa	drug	Analysis	group_moa
1	CX4	adenosine receptor antagonist	CGS-15943	CRISPR	Neurotransmission inhibitor
2	CX9	ALK tyrosine kinase receptor inhibitor	AP26113	Combined	ALK tyrosine kinase receptor inhibitor
3	CX5	protein synthesis inhibitor	puromycin	CRISPR	Anti-infective agent
4	CX7	protein synthesis inhibitor	puromycin	CRISPR	Anti-infective agent
5	CX7	carbonic anhydrase inhibitor	sulfanilamide	RNAi	Anti-infective agent
6	CX7	non-nucleoside reverse transcriptase inhibitor	dapivirine	RNAi	Anti-infective agent
7	CX9	caspase activator	PETCM	RNAi	Apoptotic agent
8	CX7	inosine monophosphate dehydrogenase inhibitor	AVN-944	RNAi	Apoptotic agent
9	CX7	aspartic protease inhibitor	pepstatin	Combined	Aspartic protease inhibitor
10	CX7	Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor	KW-2449	RNAi	Aurora kinase inhibitor
11	CX7	Aurora kinase inhibitor	alisertib	RNAi	Aurora kinase inhibitor
12	CX7	Aurora kinase inhibitor	GSK1070916	RNAi	Aurora kinase inhibitor
13	CX4	CDK inhibitor	arcyriaflavin-a	Combined	CDK inhibitor
14	CX13	CDK inhibitor	arcyriaflavin-a	Combined	CDK inhibitor
15	CX7	DNA synthesis inhibitor	anisomycin	CRISPR	DNA synthesis inhibitor
16	CX7	dehydrogenase inhibitor	azathioprine	RNAi	DNA synthesis inhibitor
17	CX7	dihydroorotate dehydrogenase inhibitor	brequinar	RNAi	DNA synthesis inhibitor
18	CX7	immunosuppressant, protein synthesis inhibitor, purine antagonist	mercaptopurine	RNAi	DNA synthesis inhibitor
19	CX9	EGFR inhibitor	afatinib	Combined	EGFR inhibitor
20	CX7	FLT3 inhibitor	quizartinib	RNAi	FLT3 inhibitor
21	CX4	guanylate cyclase stimulant	riociguat	RNAi	Guanylate cyclase stimulant
22	CX17	HDAC inhibitor	JNJ-26481585	CRISPR	HDAC inhibitor
23	CX5	HDAC inhibitor	givinostat	RNAi	HDAC inhibitor
24	CX4	glutamate receptor antagonist	kynurenic-acid	RNAi	Immunosuppressant
25	CX2	JAK inhibitor	AZD1480	Combined	JAK inhibitor
26	CX4	JAK inhibitor	AZD1480	Combined	JAK inhibitor
27	CX5	JAK inhibitor	ruxolitinib	CRISPR	JAK inhibitor
28	CX9	JAK inhibitor	filgotinib	CRISPR	JAK inhibitor
29	CX5	JAK inhibitor	AZD1480	RNAi	JAK inhibitor
30	CX11	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor	masitinib	Combined	KIT inhibitor
